Brand,Model,PowerTrain_Meanning,PriceEuro_Promo
Tesla ,Model 3 Long Range Dual Motor,All Wheel Drive,41610
Volkswagen ,ID.3 Pure,Rear Wheel Drive,22500
BMW ,iX3 ,Rear Wheel Drive,51030
Honda ,e ,Rear Wheel Drive,24747.75
Volkswagen ,e-Golf ,Front Wheel Drive,23925
Tesla ,Model 3 Standard Range Plus,Rear Wheel Drive,34785
Audi ,Q4 e-tron ,All Wheel Drive,41250
Mercedes ,EQC 400 4MATIC,All Wheel Drive,52113
Nissan ,Leaf ,Front Wheel Drive,21925.5
Hyundai ,Kona Electric 64 kWh,Front Wheel Drive,30596.25
BMW ,i4 ,Rear Wheel Drive,48750
Hyundai ,IONIQ Electric,Front Wheel Drive,25844.25
Volkswagen ,ID.3 Pro S,Rear Wheel Drive,30702
Porsche ,Taycan Turbo S,All Wheel Drive,135585.75
MG ,ZS EV,Front Wheel Drive,22500
Mini ,Cooper SE ,Front Wheel Drive,23760.75
Tesla ,Model Y Long Range Dual Motor,All Wheel Drive,43965
Skoda ,Enyaq iV 50,Rear Wheel Drive,26250
Audi ,e-tron GT ,All Wheel Drive,93750
Tesla ,Model 3 Long Range Performance,All Wheel Drive,46110
Volkswagen ,ID.4 ,Rear Wheel Drive,33750
Volkswagen ,ID.3 Pro,Rear Wheel Drive,24750
Volvo ,XC40 P8 AWD Recharge,All Wheel Drive,45327.75
BMW ,i3 120 Ah,Rear Wheel Drive,28512.75
Peugeot ,e-2008 SUV ,Front Wheel Drive,25770.75
Audi ,e-tron 50 quattro,All Wheel Drive,50518.5
Kia ,e-Niro 64 kWh,Front Wheel Drive,28578.75
Renault ,Zoe ZE50 R110,Front Wheel Drive,23388
Tesla ,Cybertruck Tri Motor,All Wheel Drive,56250
Nissan ,Leaf e+,Front Wheel Drive,27927.75
Lexus ,UX 300e,Front Wheel Drive,37500
CUPRA ,el-Born ,Rear Wheel Drive,33750
Renault ,Zoe ZE50 R135,Front Wheel Drive,24849.75
Mercedes ,EQA ,All Wheel Drive,33750
Tesla ,Model S Long Range,All Wheel Drive,59992.5
Hyundai ,Kona Electric 39 kWh,Front Wheel Drive,25478.25
Audi ,e-tron Sportback 55 quattro,All Wheel Drive,61229.25
Skoda ,CITIGOe iV ,Front Wheel Drive,18400.5
SEAT ,Mii Electric ,Front Wheel Drive,15096.75
Kia ,e-Soul 64 kWh,Front Wheel Drive,27627.75
Porsche ,Taycan 4S,All Wheel Drive,77208.75
Lightyear ,One ,All Wheel Drive,111750
Aiways ,U5 ,Front Wheel Drive,27042.75
Audi ,e-tron 55 quattro,All Wheel Drive,59583.75
Tesla ,Roadster ,All Wheel Drive,161250
Skoda ,Enyaq iV 80,Rear Wheel Drive,30000
Tesla ,Model X Long Range,All Wheel Drive,64492.5
Honda ,e Advance,Rear Wheel Drive,26940.75
DS ,3 Crossback E-Tense,Front Wheel Drive,28066.5
Renault ,Twingo ZE,Rear Wheel Drive,18592.5
Citroen ,e-C4 ,Front Wheel Drive,30000
Tesla ,Model S Performance,All Wheel Drive,72742.5
Renault ,Zoe ZE40 R110,Front Wheel Drive,21925.5
Tesla ,Model Y Long Range Performance,All Wheel Drive,49215
Nissan ,Ariya 87kWh,Front Wheel Drive,37500
Jaguar ,I-Pace ,All Wheel Drive,56513.25
Ford ,Mustang Mach-E ER RWD,Rear Wheel Drive,40856.25
Porsche ,Taycan 4S Plus,All Wheel Drive,81976.5
Nissan ,e-NV200 Evalia ,Front Wheel Drive,24934.5
Tesla ,Cybertruck Dual Motor,All Wheel Drive,41250
Renault ,Kangoo Maxi ZE 33,Front Wheel Drive,28500
Ford ,Mustang Mach-E ER AWD,All Wheel Drive,47175
BMW ,i3s 120 Ah,Rear Wheel Drive,31144.5
Skoda ,Enyaq iV 80X,All Wheel Drive,33750
Porsche ,Taycan Cross Turismo ,All Wheel Drive,112500
Byton ,M-Byte 95 kWh 4WD,All Wheel Drive,48000
Sono ,Sion ,Front Wheel Drive,19125
Kia ,e-Niro 39 kWh,Front Wheel Drive,25800
Audi ,Q4 Sportback e-tron ,All Wheel Drive,43125
Smart ,EQ forfour ,Rear Wheel Drive,16522.5
Ford ,Mustang Mach-E SR AWD,All Wheel Drive,40500
Porsche ,Taycan Turbo,All Wheel Drive,111225.75
Volkswagen ,ID.3 1st,Rear Wheel Drive,29240.25
Tesla ,Model X Performance,All Wheel Drive,77242.5
Smart ,EQ fortwo coupe,Rear Wheel Drive,16040.25
Ford ,Mustang Mach-E SR RWD,Rear Wheel Drive,35175
Mercedes ,EQV 300 Long,Front Wheel Drive,52973.25
Fiat ,500e Hatchback,Front Wheel Drive,26175
Tesla ,Cybertruck Single Motor,Rear Wheel Drive,33750
Audi ,e-tron Sportback 50 quattro,All Wheel Drive,52163.25
Skoda ,Enyaq iV vRS,All Wheel Drive,35625
Audi ,e-tron S 55 quattro,All Wheel Drive,70350
Smart ,EQ fortwo cabrio,Rear Wheel Drive,18423.75
Kia ,e-Soul 64 kWh,Front Wheel Drive,27627.75
Nissan ,Ariya e-4ORCE 87kWh,All Wheel Drive,43125
Fiat ,500e Convertible,Front Wheel Drive,28425
Volkswagen ,ID.3 Pro Performance,Rear Wheel Drive,26681.25
Kia ,e-Soul 39 kWh,Front Wheel Drive,24849.75
Byton ,M-Byte 72 kWh 2WD,Rear Wheel Drive,40125
Nissan ,Ariya 63kWh,Front Wheel Drive,33750
Audi ,e-tron S Sportback 55 quattro,All Wheel Drive,72037.5
Nissan ,Ariya e-4ORCE 63kWh,All Wheel Drive,37500
Byton ,M-Byte 95 kWh 2WD,All Wheel Drive,46500
