Hora;Mes;Hidraul;Eolica;Demanda;Ciclocomb;Cogener;Nuclear;Carbon;Clases
0;1;1061;12613;19596;1322.6;2099.9;7101.5;773;0
1;1;1073;11423.1;18027.1;1322.6;2087.4;7102.5;772;0
2;1;932.8;11052.1;17202.5;1322.6;2124.9;7102.5;701;0
3;1;889.7;8176;16788.2;1149.6;2123;7102.5;521;0
4;1;869.6;7748;16438.7;1149.6;2119.8;7102.5;521;0
5;1;869.9;7130.7;15806;1149.6;2120.6;7102.5;521;0
6;1;869.8;7021.5;15569.4;1149.6;2119.6;7102.5;764;0
7;1;834.6;7058.5;15853;1149.6;2122.2;7102.5;764;0
8;1;878.1;7551.9;16461.2;1149.6;2146.2;7102.5;764;0
9;1;969.1;7463.5;17006.2;1149.6;2149.9;7102.5;764;0
10;1;999.9;7679.4;17977.5;627;2156.5;7102.5;764;0
11;1;1074.2;8196.6;19402.1;627;2155.1;7098.5;764;0
12;1;1074.3;10202.6;20173.1;627;2152;7088.8;764;0
13;1;1033.4;11307.3;20795.4;627;2150.2;7085.9;764;0
14;1;983.5;12268.7;21289;627;2204.2;7086.8;764;0
15;1;930;12505.1;21135.4;627;2197.8;7086.8;764;0
16;1;963;12636.6;20809.5;627;2208.2;7088.8;764;0
17;1;1085;13684.5;21010.4;627;2232.5;7094.8;764;0
18;1;1596.3;14494.2;21308.5;752.6;2280.5;7094.8;764;0
19;1;1699.6;14363.2;21844.5;752.6;2330.6;7098.5;764;0
20;1;1722.7;14102.9;21778.4;752.6;2336.5;7099.5;764;0
21;1;1768.5;13978.8;22381;752.6;2343.7;7101.5;764;0
22;1;1462.1;13674.3;22084.7;752.6;2430.7;7101.5;764;0
23;1;1073.4;13512.3;20272.5;752.6;2361.3;7101.5;764;0
0;1;733;13166.2;20165.7;1357.6;2179.7;7100.5;938;0
1;1;679.4;12420.9;18875.2;1357.6;2121.7;7101.5;937;0
2;1;637.3;11959.8;18323.1;1357.6;2088.4;7101.5;929;0
3;1;605.4;11054.6;16955.7;1357.6;2089.3;6730.5;929;0
4;1;605.5;10989.1;16900.7;1357.6;2087.4;6744.8;929;0
5;1;615.2;11723;17928.5;1357.6;2114;7047.4;929;0
6;1;684.4;12729.4;19336.8;1357.6;2323.6;7101.5;929;0
7;1;904.9;12897.5;17976.9;1357.6;2630.6;7101.5;929;0
8;1;1001.1;12821.8;20585.8;1357.6;2878;7101.5;986;0
9;1;1229.3;12858.2;22323.4;757.6;3094.3;7101.5;871;0
10;1;1492.8;12718.1;23750.7;757.6;3126;7101.5;971;0
11;1;1543;12593.6;23683.2;757.6;3134.5;7097.5;971;0
12;1;1563.2;12631.5;23509.1;757.6;3159.5;7087.8;871;0
13;1;1491.2;12638.3;23910.6;757.6;3168.8;7084.9;921;0
14;1;1221.6;12634.8;23816.8;757.6;3179.6;7085.8;871;0
15;1;1226;12561.8;23552;757.6;3195.6;7085.8;871;0
16;1;1234.9;12323.3;22823.1;757.6;3206.8;7087.8;921;0
17;1;1532.1;12294.4;21857.9;757.6;3221.1;7093.8;821;0
18;1;2453.3;12236.7;22979.7;757.6;3228.9;7093.8;921;0
19;1;2577;12306.6;23577.4;757.6;3219.1;7097.5;921;0
20;1;2505.9;12476.7;24179.8;757.6;3231.2;7098.5;921;0
21;1;2328.4;12653.8;24356.4;757.6;3233.1;7100.5;821;0
22;1;1528.4;12736.6;22412.8;757.6;3230;7100.5;821;0
23;1;1052.6;12817.4;21186.4;757.6;3164.6;7100.5;764;0
0;1;849.7;12577.1;20314;777.6;2921.8;7099.3;773;0
1;1;801.4;11748.5;17783.8;777.6;2957.4;7100.3;772;0
2;1;733.1;11104.1;18343.7;777.6;2685.3;7101.3;764;0
3;1;665.9;10580.8;19001;777.6;2610.7;7101.3;764;0
4;1;666.1;10389.2;18859.5;777.6;2608.3;7101.3;764;0
5;1;680.8;10659.8;19043.4;777.6;2688;7101.3;764;0
6;1;786.8;11628.9;19582.3;857.6;2835.9;7101.3;764;0
7;1;1100.7;11825.1;20815.4;898.2;3204.3;7102.3;764;0
8;1;1536.9;11575.1;22402.5;1242.6;3439.5;7104.3;821;0
9;1;1710.4;11385.5;23688.4;1042.6;3441.7;7104.3;821;0
10;1;1791.6;11361.3;24216.9;1042.6;3438.7;7104.3;971;0
11;1;1704.7;11555.6;24634.9;1067.6;3382.8;7103.3;971;0
12;1;1625.7;11870.1;24674.8;1307.9;3435.4;7103.3;871;0
13;1;1573.3;12115.7;24876.8;1467.6;3428.2;7098.4;971;0
14;1;1385.8;12245.7;24465.8;1267.6;3387.1;7101.3;921;0
15;1;1330.4;12320.6;24012.2;1267.6;3322;7099.4;821;0
16;1;1314;12316.3;23576.2;1267.6;3318.4;7100.4;871;0
17;1;1483.1;12458;23247.6;1438.8;3442.7;7102.3;821;0
18;1;2193.1;12607.7;24402.7;1267.6;3387.7;7101.4;871;0
19;1;2463.6;12814.5;24791.7;1267.6;3366;7103.3;871;0
20;1;2518.8;13115.9;25366.8;1267.6;3398.2;7102.4;871;0
21;1;2403.9;13260;25259.5;1267.6;3390.7;7101.4;821;0
22;1;1641.1;13348.8;23637.7;1467.6;3450.8;7103.3;821;0
23;1;1111.8;13241.5;22311.9;1117.6;3276.3;7100.4;764;0
0;1;1215.4;12151.9;21219.4;811;3205.5;7094.9;773;0
1;1;1333.9;11319.7;20354.9;1065.5;3129.9;7096.9;772;0
2;1;1313.8;10544.7;20167.9;1011;3118.7;7096.9;764;0
3;1;1162.2;10315.1;19499.2;1011;3119.1;7094.9;764;0
4;1;1151.8;10408.8;19256.9;995.9;3113.4;7096.9;764;0
5;1;1090.5;11671.7;19348.7;1074.5;3124.7;7096.9;764;0
6;1;1200.8;11767.4;19659.5;811;3012.1;7096.9;764;0
7;1;1307.3;12041;20872.5;811;3192.2;7101.6;764;0
8;1;2013.6;12058.2;21663.4;936;3393.8;7103.6;821;0
9;1;2654.1;11930.5;23552.9;1151;3326.5;7103.6;871;0
10;1;2609.4;12004.1;24694.3;1156;3251.5;7103.6;971;0
11;1;2550;12214.4;24914.8;1156;3200.3;7102.6;1021;0
12;1;1836.5;12492.7;24534.6;1156;3289.3;7102.6;871;0
13;1;1668.4;12688.3;24692.9;1156;3261.8;7100.7;971;0
14;1;1577.9;12931.1;24679.6;1156;3270;7100.7;871;0
15;1;1592.2;13032.7;24566.6;1156;3242.2;7079.7;871;0
16;1;1588.7;13007.6;24104.9;1156;3243;7038.7;921;0
17;1;1752.2;13022.3;22558.2;1156;3271.7;6955.7;871;0
18;1;2565.9;13098.3;23659.2;1156;3396.4;6840.7;921;0
19;1;2841.2;13079.6;24393.3;1156;3276.8;6825.7;921;0
20;1;2845.7;13158.7;24670.2;1156;3290;6826.7;921;0
21;1;2775.2;13357.5;24410.8;1156;3320;6846.7;821;0
22;1;1793.2;13216.9;23059.7;1156;3341;6867.7;821;0
23;1;1345.3;13015.1;22147.8;911;3314.5;6888.7;764;0
0;1;1328.9;12795.1;22250.3;1115;3292.5;7093.5;773;0
1;1;1240.6;12124.9;21091.5;1273.6;3124.1;7095.5;772;0
2;1;1325.9;11357;20585.8;1042.8;3093.8;7095.5;764;0
3;1;1141.7;10359.2;19888.8;1042.8;3106.5;7093.5;764;0
4;1;1212.4;10210.7;19642.3;909.6;3054.3;7095.5;764;0
5;1;1175;11277.3;19673.5;1196.6;3091.3;7095.5;764;0
6;1;1333.1;11106.5;19201.9;1273.6;3247.3;7095.5;764;0
7;1;1352.5;10925.9;21308.9;765.6;3106;7100.2;944;0
8;1;1961.3;10924.5;23999.5;861.6;3474.4;7102.2;1051;0
9;1;2309;10947.4;25392.9;1253.6;3541.9;7102.2;1051;0
10;1;2546.6;10943.6;25511.7;1258.6;3531.7;7102.2;1151;0
11;1;2509.6;10984.6;25794.2;1258.6;3530;7101.2;1201;0
12;1;2203.7;11105.4;26132.8;1258.6;3526;7101.2;1101;0
13;1;2113.2;10967.7;26065.1;1258.6;3513.2;7098.3;1151;0
14;1;2077.2;10454.9;25417.6;1258.6;3492.6;7100.2;1101;0
15;1;2066.8;9716.6;24352.5;1104.6;3469.9;7099.3;1101;0
16;1;2077;8952.5;23118.6;1104.6;3471.7;7100.2;1101;0
17;1;2662;8207.1;21458.4;1104.6;3483.5;7100.2;1051;0
18;1;3196.2;7535.5;22236;1058.4;3487.3;7100.3;1101;0
19;1;3418;7169.1;22097.1;1012.2;3422.4;7101.2;1101;0
20;1;3504.2;6764.4;22184.2;1064.2;3462.8;7100.3;1101;1
21;1;3597.5;6311.6;22197.6;1095;3467.5;7100.3;1001;1
22;1;3129.2;5971.5;20940.2;1056.2;3444.4;7101.2;1001;0
23;1;2222.4;5888.9;19189.2;954.6;3423.8;7099.3;944;0
0;1;2110.2;5320.6;18282.4;1496;3089.5;7094.3;783;0
1;1;1811.4;5245.7;16386.7;1241;3029.5;7068.1;782;0
2;1;1737.3;5293.9;16513.1;1151;3054.8;7016.9;774;0
3;1;1129.3;5552.3;16072.4;1151;3002.9;6938;774;0
4;1;1474.8;6032.2;16214.2;1181.8;3222.4;6837.6;774;0
5;1;1472.4;6239.1;16116.6;1176;3214.4;6735.2;774;0
6;1;1550.8;6483.2;16109.4;1221.8;3207.7;6632.8;774;0
7;1;1297.4;6502.6;16231.5;1151;2944.3;6535.1;944;0
8;1;1451.7;6674.3;16742;1311;2959.4;6485.8;1001;0
9;1;2087;6974.1;17822.7;840.3;3281.9;6432.6;1001;0
10;1;2185.6;7188.8;19478.3;820;3275.1;6326.1;1101;0
11;1;2238.7;7431.7;20581.7;820;3276.9;6171.3;1101;0
12;1;2087.8;7832.5;20390.6;820;3277.7;6071.7;1001;0
13;1;1844;8376.9;20726.1;820;3272.4;6037.1;1101;0
14;1;1833.6;8973.3;20687.4;820;3258.7;6037.1;1051;0
15;1;1538.9;9417.6;20277.8;820;3068.6;6037.1;1051;0
16;1;1480.4;9791.1;19692.9;820;2994.6;6037.1;1101;0
17;1;1593.7;10164.7;19085.2;820;3254.2;6037.1;1001;0
18;1;2413.7;10577.4;20643.8;973.2;3257.6;6038.1;1001;0
19;1;2694.6;10786.1;21906.7;1155.8;3271.3;6038.1;944;0
20;1;2645.8;11039.2;22217.6;1137.8;3273.7;6038.1;1001;0
21;1;2369.4;11266.4;22447.4;1115.4;3273.9;6038.1;944;0
22;1;2026.6;11254.9;22525.6;971;3274;6038.1;944;0
